AverageAmountTransaction,TransactionAmount,IsDeclined,TotalNumberOfDeclines,isForeignTransaction,isFradulent
100,3000,0,5,1,1
100,4300,0,5,1,1
185.5,4823,1,5,0,1
185.5,5008.5,1,8,0,1
500,26000,0,0,1,1
500,27000,0,0,1,1
262.5,11287.5,0,0,0,1
185.5,11130,1,20,0,1
185.5,6121.5,1,20,0,1
185.5,7049,1,20,0,1
166.788473,4836.865717,0,0,0,1
444.9970144,21804.85371,0,0,1,1
152.451565,4116.192255,0,0,1,1
36.91948763,2141.330283,0,5,1,1
806.1795426,23379.20674,0,0,0,1
257.0911668,10283.64667,0,4,1,1
601.4529708,24659.5718,0,7,0,1
222.5298151,12461.66965,0,9,1,1
231.0673178,12708.70248,0,0,0,1
675.5694754,39858.59905,0,9,1,1
242.1517429,10654.67669,0,0,1,1
804.7617661,42652.3736,0,0,0,1
432.0302518,22033.54284,0,8,1,1
356.8122632,16056.55184,0,9,1,1
456.2831178,15057.34289,0,0,1,1
780.688498,36692.35941,0,0,1,1
947.4890276,44531.9843,0,7,1,1
172.5157672,5002.957249,0,9,1,1
111.3750711,5680.128626,0,2,1,1
679.9403346,38076.65874,0,0,1,1
476.8645865,26704.41684,0,3,1,1
563.054548,23085.23647,0,2,1,1
205.8614188,11528.23945,0,0,1,1
998.3440744,26955.29001,0,0,1,1
724.0674699,43444.04819,0,0,0,1
85.54822336,3165.284264,0,0,0,1
253.6174611,9891.080983,0,2,1,1
18.66793542,784.0532876,0,0,1,1
345.2290256,13118.70297,0,0,1,1
66.77655374,2804.615257,0,5,0,1
434.5973006,13472.51632,0,7,1,1
53.18771869,2553.010497,0,6,1,1
680.8050065,33359.44532,0,8,1,1
480.7217025,17305.98129,0,7,1,1
644.2848716,19972.83102,0,0,0,1
723.1415323,22417.3875,0,5,1,1
879.4463782,40454.5334,0,8,1,1
519.6687893,22345.75794,0,4,1,1
360.1675018,20169.3801,0,0,0,1
199.1953372,11752.52489,0,7,1,1
741.7709921,37830.3206,0,0,0,1
293.785663,14395.49749,0,0,1,1
464.2802182,21356.89004,0,5,1,1
48.43831932,2664.107563,0,8,1,1
885.2821332,53116.92799,0,9,1,1
532.2414183,15435.00113,0,6,1,1
578.1520606,32376.51539,0,7,0,1
780.3223403,39016.11702,0,5,1,1
282.8443803,15556.44092,0,7,0,1
464.1466817,15780.98718,0,0,1,1
411.7532238,22234.67409,0,0,0,1
866.4786465,46789.84691,0,7,0,1
616.445728,15411.1432,0,4,1,1
837.189105,43533.83346,0,0,1,1
276.825748,8581.598188,0,0,1,1
10.66365782,458.5372863,0,8,1,1
327.2204773,16688.24434,0,9,0,1
810.4856122,20262.14031,0,5,1,1
474.0885428,16593.099,0,2,1,1
444.9309256,21801.61535,0,0,1,1
933.1631705,28928.05829,0,5,1,1
808.2022141,46067.5262,0,0,1,1
968.6067798,52304.76611,0,4,1,1
208.0480827,7489.730977,0,9,1,1
499.6241664,18985.71832,0,0,1,1
570.627572,26819.49588,0,9,0,1
681.5690311,31352.17543,0,0,1,1
248.4369944,7204.672838,0,5,1,1
539.2368026,25883.36652,0,0,1,1
580.9745696,28467.75391,0,5,1,1
336.182123,17817.65252,0,0,1,1
656.2025117,37403.54317,0,5,1,1
393.7053746,11811.16124,0,3,1,1
603.3792276,30772.34061,0,0,1,1
308.0830989,17868.81974,0,7,0,1
886.8957371,44344.78686,0,9,1,1
335.8370761,13097.64597,0,0,1,1
610.5646704,29307.10418,0,9,1,1
52.50319147,1365.082978,0,8,1,1
572.3188104,25754.34647,0,0,1,1
769.7753903,44646.97264,0,8,0,1
570.5826102,18829.22614,0,8,0,1
80.53627851,2335.552077,0,0,1,1
483.9256352,26131.9843,0,7,1,1
268.5412251,8593.319203,0,6,0,1
787.7379607,32297.25639,0,3,1,1
263.4127903,9746.273241,0,0,1,1
921.0639299,46974.26042,0,8,1,1
733.4911774,35941.06769,0,0,1,1
510.4185708,22968.83569,0,0,1,1
9.134958761,429.3430618,0,8,0,1
29.16618193,904.1516398,0,7,1,1
971.9442274,24298.60569,0,3,1,1
616.3847055,19724.31058,0,7,1,1
418.34977,21754.18804,0,0,1,1
912.5499676,37414.54867,0,2,1,1
110.5364153,3868.774536,0,0,1,1
70.55375568,2187.166426,0,7,0,1
730.7886618,41654.95372,0,8,0,1
581.9333833,33170.20285,0,0,1,1
502.4951099,24119.76528,0,0,1,1
317.7292099,14297.81445,0,7,0,1
428.1894204,25263.1758,0,7,0,1
86.35227213,2935.977252,0,0,0,1
58.50421659,1521.109631,0,5,1,1
67.75952614,3455.735833,0,7,1,1
429.8207641,18912.11362,0,0,1,1
979.4752417,46035.33636,0,0,0,1
924.9840806,39774.31547,0,7,0,1
705.352783,27508.75854,0,9,1,1
664.4396973,31228.66577,0,0,1,1
444.8008156,16457.63018,0,0,1,1
224.4733968,6060.781714,0,0,1,1
658.1175211,39487.05127,0,8,1,1
926.0312574,41671.40658,0,5,1,1
398.5830073,11160.3242,0,7,0,1
270.2719797,16216.31878,0,0,0,1
281.6009344,14924.84952,0,0,1,1
25.94673767,778.4021301,0,3,1,1
892.0737616,50848.20441,0,0,1,1
337.1910142,11127.30347,0,0,1,1
359.9114021,15476.19029,0,6,1,1
550.9807563,32507.86462,0,0,0,1
429.5809401,14605.75196,0,9,1,1
619.23554,29723.30592,0,9,1,1
66.89089521,3143.872075,0,4,1,1
720.1632813,25925.87813,0,0,1,1
787.7381474,44113.33625,0,2,1,1
815.8508538,35081.58671,0,8,1,1
814.4750536,47239.55311,0,9,0,1
707.2405588,33240.30626,0,9,1,1
383.3426919,14950.36498,0,2,1,1
487.6495231,14141.83617,0,8,0,1
148.6099184,3715.24796,0,0,0,1
307.4155075,14448.52885,0,0,1,1
987.0255318,50338.30212,0,2,1,1
744.816824,29047.85614,0,7,0,1
679.3220446,40080.00063,0,3,1,1
31.25395942,1187.650458,0,8,0,1
978.691432,25445.97723,0,9,0,1
256.1895782,9479.014393,0,8,1,1
36.55582934,1571.900662,0,0,1,1
865.809278,36363.98968,0,0,1,1
28.36943391,1163.14679,0,9,1,1
766.5603656,42160.82011,0,0,0,1
860.6974012,51641.84407,0,0,1,1
436.3097896,20506.56011,0,8,0,1
128.0026311,7424.152604,0,7,0,1
315.7326582,14523.70228,0,0,1,1
110.1401282,6498.267564,0,7,0,1
259.3569041,9855.562356,0,9,1,1
253.8673429,13201.10183,0,7,1,1
334.1530379,18378.41708,0,0,0,1
507.067806,22310.98346,0,9,0,1
396.6188071,11105.3266,0,8,1,1
274.9736712,14298.6309,0,4,1,1
630.3932778,34041.237,0,0,1,1
491.2565161,28492.87793,0,8,1,1
971.6299871,56354.53925,0,5,1,1
366.1841195,17943.02186,0,7,1,1
54.41576965,2285.462325,0,0,1,1
719.8422034,37431.79458,0,2,1,1
832.603207,33304.12828,0,0,1,1
753.8463192,37692.31596,0,6,1,1
658.3438678,35550.56886,0,8,1,1
880.0117675,29920.4001,0,6,1,1
735.2684285,18381.71071,0,0,1,1
711.0605246,17776.51312,0,8,1,1
592.3582367,14808.95592,0,4,1,1
7.409143184,274.1382978,0,3,1,1
147.1329946,7503.782725,0,6,0,1
121.9231188,4755.001633,0,4,1,1
943.4032124,45283.3542,0,3,1,1
644.0231767,37997.36743,0,7,1,1
531.3669609,21786.0454,0,9,0,1
981.1519167,48076.44392,0,0,0,1
204.3112252,5516.40308,0,6,0,1
510.1006804,16833.32245,0,9,0,1
640.0741242,37124.2992,0,9,1,1
404.716752,23473.57162,0,0,1,1
883.3452074,34450.46309,0,0,1,1
545.4334446,29453.40601,0,2,1,1
165.7654947,8454.04023,0,0,1,1
591.3877421,31343.55033,0,2,1,1
640.1624804,26246.6617,0,9,1,1
740.2046238,23686.54796,0,6,1,1
141.7425944,5669.703776,0,7,1,1
271.0728565,15180.07996,0,0,1,1
858.5601081,30908.16389,0,2,1,1
801.2300183,29645.51068,0,6,1,1
69.64048686,3551.66483,0,0,1,1
615.5602077,36318.05225,0,0,1,1
594.8029527,30334.95059,0,4,1,1
600.0949052,31805.02998,0,0,1,1
620.1060587,25424.34841,0,1,0,1
131.8452729,3823.512914,0,0,1,1
551.0820991,24798.69446,0,9,0,1
865.32028,38074.09232,0,0,0,1
589.1127234,34757.65068,0,7,1,1
287.0167931,12341.7221,0,0,1,1
919.8808727,39554.87753,0,0,1,1
850.4822313,46776.52272,0,8,1,1
240.9497143,8192.290286,0,4,1,1
388.4652081,15538.60832,0,8,0,1
540.6711096,14057.44885,0,8,1,1
413.7465063,24824.79038,0,7,0,1
509.1908935,28005.49914,0,5,1,1
308.7609554,16673.09159,0,0,0,1
353.7778362,19104.00315,0,5,1,1
284.1427114,15343.70642,0,8,1,1
521.4180425,28677.99234,0,5,1,1
263.2839832,13954.05111,0,0,1,1
688.9080072,33756.49235,0,5,1,1
746.2325632,26864.37228,0,0,0,1
162.269086,8113.4543,0,9,0,1
657.5491567,30247.26121,0,0,0,1
980.8272044,50022.18742,0,2,1,1
450.4208559,17566.41338,0,0,1,1
639.6560067,24306.92825,0,0,0,1
875.3109328,35887.74824,0,0,1,1
877.3857224,42991.9004,0,3,1,1
749.7096084,23240.99786,0,8,0,1
967.0755763,34814.72075,0,0,1,1
959.1378013,52752.57907,0,0,0,1
699.5129575,25182.46647,0,0,0,1
108.2845499,5197.658395,0,5,1,1
348.1773237,14623.4476,0,3,1,1
732.0449117,18301.12279,0,1,1,1
858.5168817,22321.43892,0,0,1,1
7.954238966,294.3068417,0,4,1,1
189.3138594,10601.57613,0,0,1,1
49.67058576,1738.470502,0,0,1,1
459.2866416,16075.03246,0,8,1,1
846.6760804,30480.33889,0,7,0,1
674.7817162,35088.64924,0,5,1,1
865.7940313,45887.08366,0,0,0,1
806.125364,20959.25946,0,9,1,1
142.5739552,5845.532163,0,8,0,1
726.0532789,27590.0246,0,0,0,1
43.64750081,1440.367527,0,0,0,1
186.3281183,10993.35898,0,0,0,1
935.0104992,46750.52496,0,0,1,1
124.1292468,4344.523638,0,0,1,1
569.4513831,26764.21501,0,9,1,1
204.4915452,5112.28863,0,5,1,1
498.4128013,29406.35528,0,0,1,1
534.7917778,13904.58622,0,5,1,1
255.8440962,6396.102405,0,9,1,1
690.3779723,41422.67834,0,3,1,1
980.8982809,46102.2192,0,8,0,1
773.6826383,22436.79651,0,0,0,1
569.9575183,19378.55562,0,5,1,1
969.4199486,37807.378,0,6,1,1
500.7184551,20529.45666,0,8,1,1
913.0344755,28304.06874,0,6,1,1
192.4426122,7312.819264,0,0,1,1
397.8326505,9945.816263,0,7,0,1
826.6331531,42984.92396,0,5,1,1
364.0641254,17111.01389,0,0,1,1
145.7400314,5538.121193,0,0,0,1
212.6425076,8293.057796,0,0,0,1
807.7347087,40386.73544,0,0,1,1
978.7182792,37191.29461,0,2,1,1
418.9848756,10893.60677,0,9,0,1
684.2787417,22581.19848,0,8,1,1
312.3866556,15306.94612,0,0,0,1
858.5143144,36057.6012,0,3,1,1
484.1391246,17913.14761,0,1,1,1
452.309247,18996.98837,0,4,1,1
814.3885462,35018.70749,0,8,1,1
818.1752923,27817.95994,0,0,1,1
132.3457772,4102.719093,0,0,1,1
697.0536989,30670.36275,0,5,1,1
539.9713415,29158.45244,0,6,0,1
820.8520643,41042.60322,0,7,1,1
137.1661614,5898.14494,0,3,1,1
129.2911425,4525.189988,0,5,1,1
683.2697187,34163.48594,0,0,1,1
432.7778058,21638.89029,0,0,1,1
460.678046,27640.68276,0,3,1,1
317.468299,15555.94665,0,2,1,1
273.0599823,15291.35901,0,6,1,1
856.7066756,24844.49359,0,8,1,1
694.7347017,36126.20449,0,0,1,1
506.9870067,20786.46727,0,6,1,1
204.9659578,11273.12768,0,3,1,1
500.0066511,22000.29265,0,7,1,1
756.0365827,42338.04863,0,6,1,1
931.9793134,40075.11048,0,9,0,1
681.0673665,21794.15573,0,0,1,1
492.558973,20687.47687,0,9,0,1
434.4737987,14772.10916,0,0,1,1
363.183629,13074.61064,0,0,1,1
147.5242383,8261.357345,0,2,1,1
847.9098005,42395.49003,0,6,1,1
402.5043924,20930.2284,0,2,1,1
471.3818806,23569.09403,0,4,1,1
798.1141754,26337.76779,0,9,1,1
992.6494887,25808.88671,0,0,1,1
122.1290163,7327.740978,0,6,1,1
404.1382887,23440.02074,0,7,1,1
337.8148501,8783.186103,0,7,1,1
720.7841274,38922.34288,0,0,1,1
640.7230528,21143.86074,0,5,1,1
592.8263199,17784.7896,0,5,1,1
279.1086726,15909.19434,0,0,1,1
265.8169401,9835.226784,0,0,1,1
986.2171125,56214.37541,0,4,1,1
705.1993256,19040.38179,0,5,1,1
416.9327519,18761.97384,0,9,1,1
899.179126,40463.06067,0,7,0,1
427.1692882,16232.43295,0,0,1,1
925.0870281,24977.34976,0,8,1,1
733.9913263,38167.54897,0,4,1,1
243.7620445,11456.81609,0,8,1,1
877.8014753,36867.66196,0,9,1,1
922.3986849,37818.34608,0,3,1,1
947.7074177,45489.95605,0,3,0,1
515.2839682,13397.38317,0,9,0,1
979.5699377,41141.93738,0,0,1,1
790.1523003,41878.07192,0,9,0,1
865.2955833,23362.98075,0,4,0,1
562.7565227,15757.18264,0,6,1,1
101.461186,5174.520486,0,8,1,1
58.85243721,3413.441358,0,8,1,1
81.64788579,4572.281604,0,0,1,1
15.74247373,535.2441068,0,8,1,1
666.0617481,21313.97594,0,8,0,1
871.8621512,28771.45099,0,9,0,1
425.4511691,25527.07015,0,9,1,1
489.4387231,26919.12977,0,9,1,1
918.9229043,40432.60779,0,7,1,1
862.8380502,41416.22641,0,5,1,1
831.8627613,49079.90292,0,0,1,1
81.92117847,3850.295388,0,9,0,1
347.7253025,19820.34224,0,0,1,1
249.8231543,6245.578858,0,0,1,1
768.5943157,46115.65894,0,9,0,1
519.3985865,16101.35618,0,5,1,1
456.3813634,11865.91545,0,4,1,1
894.7819545,37580.84209,0,9,1,1
793.550405,27774.26418,0,2,1,1
916.0180605,27480.54182,0,3,1,1
114.2010307,6623.659781,0,8,1,1
241.8275704,13542.34394,0,3,1,1
115.0563898,4487.199202,0,0,1,1
331.8126225,17586.06899,0,0,0,1
908.1458054,23611.79094,0,3,1,1
173.3603869,4334.009673,0,0,1,1
654.8001656,25537.20646,0,0,1,1
263.3156802,6582.892005,0,9,1,1
715.1170832,24313.98083,0,2,1,1
735.9010899,25756.53815,0,0,1,1
942.3427767,44290.1105,0,2,0,1
47.18366965,1651.428438,0,0,1,1
411.2015311,14392.05359,0,5,1,1
544.050812,14689.37192,0,0,1,1
324.6814562,10065.12514,0,9,1,1
69.80049552,1814.812884,0,0,1,1
94.27628892,5373.748468,0,0,0,1
687.7898409,17882.53586,0,3,1,1
989.7481646,30682.1931,0,0,1,1
380.3262615,17495.00803,0,0,1,1
805.5476019,31416.35647,0,0,1,1
684.2297364,30106.1084,0,4,1,11
483.5514489,13539.44057,0,9,0,1
534.4449872,14430.01465,0,0,0,1
705.8118035,41642.89641,0,0,0,1
81.53100514,4728.798298,0,0,1,1
421.2386089,19798.21462,0,8,0,1
107.0893057,3212.679171,0,8,0,1
302.5597406,17548.46495,0,0,0,1
503.9905822,28223.4726,0,1,1,1
238.2450816,10482.78359,0,6,1,1
9.919197533,257.8991359,0,6,1,1
43.21184997,2333.439898,0,7,1,1
895.6099868,50154.15926,0,0,0,1
796.4496467,19911.24117,0,8,1,1
814.1466471,24424.39941,0,9,1,1
973.996789,56491.81376,0,6,1,1
259.3645136,13227.59019,0,0,1,1
756.7421967,37080.36764,0,4,0,1
979.5642622,49957.77737,0,6,1,1
378.3035981,12862.32234,0,0,0,1
263.4791392,8694.811594,0,2,1,1
769.0106009,40757.56185,0,6,1,1
880.9781253,24667.38751,0,4,1,1
1000,56000,1,1,1,1
2000,54000,1,2,1,1
2000,106000,0,3,1,1
1000,28000,0,4,1,1
500,20000,0,5,1,1
300,15000,0,6,1,1
1000,27000,1,0,1,1
1000,34000,1,1,1,1
2000,80000,1,2,1,1
2000,108000,1,3,1,1
1000,29000,1,4,1,1
500,23000,1,5,1,1
300,15300,1,6,1,1
1200,61200,1,0,1,1
600,16200,1,1,1,1
300,7800,1,2,1,1
500,16500,1,0,0,1
500,19500,1,1,0,1
500,14000,1,2,0,1
500,17500,1,1,0,1
500,23000,0,2,0,1
800,24800,1,1,0,1
400,10400,1,2,0,1
200,10400,0,3,0,1
800,35200,1,1,0,1
400,14000,1,2,0,1
200,7800,0,3,0,1
800,31200,1,0,1,1
700,25900,1,1,1,1
800,40800,1,0,1,1
800,40000,1,1,1,1
400,12800,1,2,1,1
200,11600,0,3,1,1
1200,54000,1,0,1,1
600,17400,1,1,1,1
300,15000,1,2,1,1
500,26500,1,4,0,1
500,22000,1,5,0,1
500,14000,1,6,0,1
1000,29000,1,1,1,1
1000,43000,1,2,1,1
500,25500,1,3,0,1
500,18000,1,4,0,1
500,16500,1,5,0,1
1000,35000,1,1,1,1
1000,49000,1,2,1,1
500,20500,1,0,0,1
500,13500,1,1,0,1
500,22500,1,2,0,1
100,3100,1,2,0,1
100,5300,1,2,0,1
185.5,5008.5,1,0,0,0
185.5,742,1,1,0,0
185.5,2411.5,1,2,0,0
262.5,3412.5,0,0,0,0
375,10875,0,0,0,0
375,4125,0,0,0,0
375,4125,0,0,0,0
795.3258416,17497.16852,0,0,0,0
574.8953529,7473.639588,0,0,0,0
697.1947817,697.1947817,0,0,1,0
660.9056456,13879.01856,0,6,0,0
139.5079394,1255.571455,0,0,0,0
908.66928,1817.33856,0,0,0,0
182.8927022,3292.06864,0,0,1,0
748.9456577,18723.64144,0,0,0,0
925.6920964,24067.99451,0,0,0,0
784.7583042,2354.274913,0,0,0,0
571.218401,11424.36802,0,0,1,0
537.2396194,537.2396194,0,1,0,0
801.4859808,801.4859808,0,0,0,0
793.2098759,6345.679007,0,0,0,0
388.4139607,5437.79545,0,0,0,0
702.0144268,6318.129841,0,0,0,0
477.5880271,6686.232379,0,4,1,0
977.8147143,15645.03543,0,0,0,0
604.4644263,14507.14623,0,0,1,0
738.8735633,15516.34483,0,0,1,0
176.9943282,4424.858205,0,0,1,0
772.5997851,16997.19527,0,0,0,0
817.7037576,16354.07515,0,0,0,0
900.8032314,26123.29371,0,0,0,0
695.8323671,15308.31208,0,0,0,0
515.8856183,10833.59798,0,1,0,0
797.6814921,19144.35581,0,0,0,0
73.02885368,1752.692488,0,6,0,0
554.570771,554.570771,0,0,0,0
283.7194669,4823.230937,0,0,0,0
492.0418223,7380.627335,0,0,0,0
518.8298938,518.8298938,0,0,1,0
980.6475055,0,0,0,0,0
681.4592031,681.4592031,0,0,0,0
258.4302829,7236.047921,0,5,0,0
788.6774125,18928.2579,0,0,0,0
305.901316,7035.730268,0,0,0,0
667.4968404,11347.44629,0,0,1,0
953.2963089,6673.074162,0,0,0,0
819.2511303,1638.502261,0,0,0,0
991.0820918,0,0,0,0,0
564.6975784,1694.092735,0,0,0,0
869.7825668,5218.695401,0,0,0,0
226.3208575,4526.41715,0,0,0,0
757.6708984,10607.39258,0,1,0,0
810.3804191,18638.74964,0,0,0,0
948.2604521,27499.55311,0,0,1,0
33.32058923,966.2970877,0,0,0,0
765.1056955,6120.845564,0,0,0,0
139.5080885,418.5242655,0,3,0,0
753.3895864,11300.8438,0,0,0,0
904.0919615,18081.83923,0,0,0,0
480.3256876,1440.977063,0,0,0,0
575.8866276,9214.186042,0,3,0,0
536.6174844,2683.087422,0,0,1,0
635.925998,6995.185978,0,0,0,0
945.80618,27428.37922,0,0,0,0
893.6900118,2681.070035,0,2,0,0
772.8766219,10047.39608,0,0,0,0
463.3194612,11119.66707,0,0,0,0
334.0842075,0,0,2,0,0
372.5387616,5215.542662,0,0,0,0
587.8233202,11756.4664,0,3,1,0
976.8788131,12699.42457,0,6,0,0
761.9929718,16763.84538,0,0,0,0
417.6075211,10022.58051,0,0,1,0
908.6468831,7269.175065,0,0,0,0
152.2503117,913.5018702,0,0,0,0
577.8632006,4622.905605,0,1,1,0
325.8021309,6841.844749,0,0,0,0
880.9632491,21143.11798,0,4,0,0
222.8070521,0,0,0,0,0
879.8399926,0,0,0,1,0
744.439535,20844.30698,0,0,0,0
174.5748193,0,0,0,0,0
561.8878553,15732.85995,0,0,0,0
255.2412689,2041.930151,0,0,0,0
480.7311598,6730.236237,0,0,0,0
933.6599343,3734.639737,0,0,0,0
114.8077308,1607.308231,0,0,0,0
143.831833,3595.795825,0,0,0,0
645.2165927,10968.68208,0,0,0,0
221.53988,3987.71784,0,0,0,0
295.7822414,4732.515862,0,0,0,0
807.8373395,16964.58413,0,0,1,0
731.9780894,13907.5837,0,0,1,0
299.1148076,7776.984998,0,0,0,0
368.4336312,8105.539886,0,0,0,0
746.3343732,21643.69682,0,0,0,0
581.3095268,11044.88101,0,0,0,0
413.8841481,9933.219554,0,3,0,0
653.4400849,6534.400849,0,0,1,0
551.3288488,13783.22122,0,0,1,0
588.821206,1766.463618,0,0,1,0
698.0108159,6282.097343,0,0,1,0
619.7705306,10536.09902,0,0,0,0
168.1831738,4204.579345,0,5,0,0
596.3886428,10734.99557,0,0,0,0
975.2536165,21455.57956,0,0,0,0
350.1571551,9104.086033,0,3,0,0
425.6565945,1702.626378,0,0,0,0
884.5431496,0,0,0,0,0
885.7841967,15058.33134,0,3,1,0
966.6480189,27066.14453,0,0,0,0
154.5972464,1545.972464,0,0,0,0
628.7312042,18861.93613,0,0,0,0
596.4622689,13718.63218,0,0,0,0
541.1007341,15150.82055,0,1,0,0
602.1745806,5419.571225,0,0,0,0
143.7397219,431.2191657,0,0,0,0
835.164541,22549.44261,0,0,0,0
218.2719168,1527.903418,0,0,0,0
210.4549194,4419.553307,0,0,0,0
366.0303963,1464.121585,0,0,0,0
480.9564776,6252.434209,0,0,0,0
524.1820479,4193.456383,0,0,0,0
209.7750891,4405.276871,0,0,1,0
230.9225454,5080.295999,0,0,0,0
292.3802799,2631.422519,0,0,0,0
514.3955851,2057.58234,0,0,1,0
400.2530028,5603.542039,0,0,0,0
514.5016284,2572.508142,0,0,0,0
978.9778628,13705.69008,0,0,0,0
356.0531442,1068.159433,0,0,0,0
869.2319171,3476.927668,0,0,1,0
516.8412666,14471.55546,0,0,0,0
599.6688385,7795.694901,0,3,0,0
356.4103817,8910.259543,0,0,0,0
748.4508721,7484.508721,0,0,0,0
285.9133049,5432.352793,0,0,0,0
650.6815211,16917.71955,0,5,0,0
302.6994428,4540.491642,0,0,0,0
348.9421299,6629.900468,0,0,0,0
233.6998825,3271.798355,0,1,0,0
799.2352664,5594.646865,0,0,1,0
573.2610841,1146.522168,0,0,0,0
692.9511304,11087.21809,0,0,0,0
861.7200846,1723.440169,0,0,0,0
185.0323486,1295.22644,0,3,0,0
778.9939438,10905.91521,0,0,0,0
268.6039835,5372.07967,0,0,0,0
206.9367032,5794.22769,0,0,0,0
395.5145875,0,0,0,1,0
552.6568182,0,0,0,0,0
590.1536992,1180.307398,0,0,0,0
954.0631233,23851.57808,0,0,0,0
452.5488594,5430.586313,0,0,0,0
269.7692987,2427.923688,0,0,0,0
488.9997194,488.9997194,0,0,0,0
819.390729,20484.76823,0,0,0,0
984.5235964,26582.1371,0,2,0,0
207.3242988,5183.10747,0,3,0,0
865.6765051,12119.47107,0,0,0,0
428.7149143,3858.434229,0,0,0,0
744.476896,2233.430688,0,0,1,0
484.5259883,8236.941801,0,6,0,0
870.9886458,10451.86375,0,0,0,0
918.6812021,4593.406011,0,0,0,0
